,discount,learning rate,dec temp,weight,prior weight,prior lr,subject
120,0.24605513,0.492439,0.7333576,0.5869259,1.3549482,0.8237708,120
121,0.6217769,0.21324392,1.2126393,0.8561339,2.6015573,0.6521542,121
122,0.7949626,0.2846167,3.6179445,0.67345166,4.0164557,0.21776189,122
123,0.79672396,0.8630548,4.0857067,0.69368905,4.497899,0.08818492,123
124,0.5287981,0.2154786,4.542229,0.31987816,3.3035216,0.56463444,124
125,0.072542526,0.4637665,3.4458098,0.1145308,0.9832991,0.6613343,125
126,0.84680057,0.8714918,4.6148696,0.26420784,4.676984,0.31826475,126
127,0.06064043,0.59123236,3.5364757,0.14381161,4.1069627,0.90989643,127
128,0.6146999,0.13746694,2.7297752,0.6411916,3.8235247,0.76501036,128
129,0.9061986,0.36231273,2.527516,0.49154577,4.441001,0.7105884,129
130,0.9667107,0.47463587,3.7580588,0.47041482,4.703949,0.46453333,130
131,0.70598316,0.8108116,3.791049,0.19768783,5.0899205,0.81299806,131
132,0.5243533,0.93102676,1.8665473,0.1628385,1.6103995,0.050255075,132
133,0.2036523,0.96295995,3.5934143,0.8391933,0.7244014,0.21577325,133
134,0.44615263,0.8901284,4.001089,0.17016476,1.3019809,0.05374893,134
135,0.59374297,0.016980017,2.1959991,0.7792541,4.2238994,0.18898857,135
136,0.4993874,0.25614384,3.015988,0.6658171,1.4627718,0.8681602,136
137,0.09457734,0.16322213,0.9838264,0.5352797,0.81139827,0.706623,137
138,0.82172304,0.20756917,4.743829,0.6340638,2.5707781,0.24771322,138
139,0.24391025,0.97165316,1.0350857,0.3587599,4.7473774,0.22543414,139
140,0.5329072,0.8583584,4.625219,0.42150906,0.75762284,0.16000271,140
141,0.30496582,0.15432478,0.9927428,0.24948186,2.1393461,0.2971794,141
142,0.28259578,0.4727552,0.48557067,0.84821063,3.0049996,0.36524138,142
143,0.97616595,0.26175764,1.0239016,0.43603224,0.9917544,0.5411385,143
144,0.7262301,0.60749304,4.1758633,0.07696035,4.09994,0.096630596,144
145,0.84788185,0.29319197,1.9430941,0.858419,2.8757398,0.06201514,145
146,0.9036821,0.36528078,3.7677405,0.5549775,0.97290957,0.106274344,146
147,0.33124277,0.5579503,0.15087543,0.74443513,1.082116,0.36263958,147
148,0.103816755,0.55403876,2.660666,0.73403764,4.6128826,0.30513388,148
149,0.77500325,0.3027363,4.352413,0.43915763,3.573935,0.5911795,149
150,0.7193465,0.1937259,3.8872526,0.49841833,1.9359722,0.084374286,150
151,0.73349446,0.55646485,0.66075087,0.6422252,5.0664406,0.44907606,151
152,0.5747658,0.86833405,2.2018695,0.067017384,3.5754113,0.79484725,152
153,0.6412837,0.96732837,4.6123557,0.24793562,4.689913,0.91760427,153
154,0.14250945,0.054453723,0.80824935,0.59885657,1.575335,0.11235431,154
155,0.8735247,0.24519889,4.9010015,0.8453336,4.772515,0.5927614,155
156,0.87630004,0.0797422,5.310025,0.1832287,5.0766,0.5676519,156
157,0.53446364,0.8092224,3.8028555,0.42174253,5.2490487,0.24309453,157
158,0.50115234,0.13087057,4.2922187,0.39442867,5.077979,0.7176734,158
159,0.2833913,0.42108446,3.128664,0.9149393,2.6718569,0.76901746,159
160,0.40916458,0.40416557,0.7476588,0.7012751,2.528416,0.0072022625,160
161,0.90573955,0.36504003,2.0767398,0.93482083,3.1147647,0.20189247,161
162,0.7813784,0.54449576,4.1397195,0.41108796,3.166711,0.32999638,162
163,0.19034967,0.52714527,3.0590916,0.46821505,3.2765956,0.09316886,163
164,0.982337,0.36169368,1.3228815,0.6982129,0.8570815,0.29307055,164
165,0.4321928,0.10528829,4.55274,0.9220478,1.8271565,0.35268325,165
166,0.7858106,0.43789402,2.9715662,0.23800592,4.204131,0.06448352,166
167,0.65445113,0.07153056,4.596621,0.9015652,0.9391589,0.122720055,167
168,0.93718857,0.60545266,3.8217006,0.07968845,2.6455648,0.48795682,168
169,0.29103914,0.8528718,4.067673,0.8833815,5.0669985,0.3569405,169
170,0.8936091,0.14717396,3.0958493,0.42158964,4.605962,0.518494,170
171,0.9149802,0.26331595,2.3076243,0.2318839,3.2632577,0.36454386,171
172,0.18919094,0.5448958,0.18382594,0.9514055,5.336993,0.8961985,172
173,0.7455626,0.13112871,2.0601766,0.8582921,0.6653629,0.32630804,173
174,0.32820868,0.51815957,1.1354305,0.16759945,3.5336645,0.035262734,174
175,0.34454992,0.67923725,4.2478404,0.7830858,0.30736032,0.5878663,175
