,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred dec temp,true dec temp,inferred weight,true weight,inferred prior lr,true prior lr,inferred prior weight,true prior weight
30,0.5231686,0.39514995,30,0.27040693,0.001508534,0.9014322,5.6342683,0.47817865,0.18475372,0.6983678,0.75670147,2.9132826,2.7043033
31,0.61195827,0.7523456,31,0.13186675,0.46642935,3.5532296,1.3368037,0.43676105,0.82818955,0.7422159,0.8852755,3.6563745,4.3996525
32,0.6840223,0.80352837,32,0.42825475,0.42512006,4.6522636,5.2635293,0.33554298,0.28941214,0.20315318,0.2157501,2.8612084,2.7053113
33,0.53481984,0.85926294,33,0.3647262,0.21649355,0.96891016,1.4615679,0.54155385,0.7917589,0.13930835,0.06109631,4.801052,4.415402
34,0.5359341,0.99356997,34,0.2108161,0.8976437,1.2382325,0.39415812,0.51929504,0.571769,0.78004044,0.87110823,2.3501825,2.0208385
35,0.5362017,0.2345187,35,0.50194216,0.4908291,2.9997356,2.777449,0.7723419,0.96690464,0.22113715,0.2370506,0.954747,1.2359945
36,0.48675483,0.16996187,36,0.2814628,0.30409408,1.1213751,0.66446686,0.48217124,0.9753519,0.78013206,0.9258789,1.0056663,1.0115973
37,0.52151406,0.23836374,37,0.50524247,0.5543656,1.3174757,1.092163,0.43920183,0.07273942,0.32123235,0.8801068,0.7287959,0.18883216
38,0.45562297,0.14406121,38,0.84984046,0.88486975,4.104169,5.3979754,0.79429114,0.9021815,0.7445188,0.8146204,2.9354246,2.8011255
39,0.52088845,0.16487324,39,0.32755297,0.46537298,1.3633417,1.2191176,0.50929403,0.009067535,0.22603016,0.2671321,4.6074104,4.460902
40,0.7514969,0.89723635,40,0.8931625,0.9115601,3.3081255,4.124723,0.31764397,0.30638188,0.8212035,0.81416243,1.5007222,1.423664
41,0.50442505,0.084445536,41,0.13643032,0.061596036,2.4650044,4.315548,0.5872573,0.29849708,0.69015294,0.75201786,2.0504372,1.851663
42,0.46784702,0.16403681,42,0.39059418,0.27350116,1.9916493,2.3858721,0.5004207,0.6200202,0.1664194,0.354492,0.87875915,0.37518132
43,0.4703875,0.8163653,43,0.10376863,0.059454083,3.1905804,2.749242,0.5472587,0.50671303,0.19789991,0.24559206,4.383172,3.989995
44,0.5601142,0.089579284,44,0.80630547,0.967146,1.2269783,1.1927916,0.53268397,0.66667116,0.29697177,0.40993434,3.737565,3.7508206
45,0.48499542,0.3009224,45,0.22459817,0.29519522,3.184771,3.4660344,0.5579922,0.3665642,0.2669034,0.22053033,4.526501,4.1216235
46,0.5795607,0.87736064,46,0.45157972,0.34958506,4.5138927,5.9938993,0.42060864,0.42728585,0.58488065,0.88524956,4.908975,5.493266
47,0.54853123,0.52162856,47,0.47374165,0.5216872,3.711345,3.7267866,0.27896786,0.38694936,0.6176782,0.94659543,1.2336801,1.0905315
48,0.50415903,0.3293236,48,0.26904646,0.17045665,4.907943,5.2072268,0.46601948,0.48482805,0.1947483,0.13016838,4.91556,4.636571
49,0.4822921,0.37918168,49,0.8510035,0.89715433,1.5910002,1.0754102,0.6916687,0.9205452,0.21037954,0.23002243,1.627061,1.7340302
50,0.48646313,0.7120008,50,0.2139885,0.23685354,0.90960073,0.9155828,0.57445276,0.75367576,0.7877872,0.94970816,1.2780609,1.1935111
