,discount,learning rate,dec temp,weight,prior weight,prior lr,subject
106,0.24677323,0.21986678,2.3240027,0.28982162,0.73351705,0.1228939,106
107,0.24507667,0.70257705,3.8155713,0.733019,0.66666865,0.18753304,107
108,0.77363724,0.439256,1.672812,0.8318512,0.76301813,0.21529785,108
109,0.28405544,0.15641305,1.0188928,0.50242144,1.3368188,0.11400271,109
110,0.16221821,0.612416,0.7172273,0.71482015,0.3546905,0.5137648,110
111,0.42150047,0.15836614,1.0462133,0.9010364,0.7761353,0.04347786,111
112,0.40681794,0.31828153,3.848545,0.957752,1.9827697,0.67576724,112
113,0.6474054,0.50464386,1.2628034,0.3778684,0.47715113,0.12630503,113
114,0.32002354,0.28360584,3.5894728,0.7542037,1.4194633,0.3986834,114
115,0.78716195,0.6407324,2.2679124,0.9255535,0.5882318,0.17284565,115
116,0.4385008,0.19212715,0.7040543,0.6361469,0.6539106,0.494418,116
117,0.12951873,0.5159301,3.2337127,0.80490834,1.1273406,0.701906,117
118,0.7034445,0.89669424,2.599547,0.7417243,0.6187932,0.89394176,118
119,0.6094612,0.10532681,2.2750676,0.7383696,1.1238327,0.768651,119
120,0.810817,0.59287757,2.4203956,0.84494525,1.2230887,0.27436283,120
121,0.9191321,0.5569913,0.45465022,0.7988813,1.0450493,0.1224802,121
122,0.08115231,0.41228694,0.41965276,0.92792815,0.36045372,0.34170625,122
123,0.84631985,0.9597182,1.9338667,0.5173276,0.5429105,0.5281961,123
124,0.65799344,0.71536773,2.7578406,0.8202911,0.7826691,0.2434225,124
125,0.51760554,0.9111943,3.6322317,0.7585376,1.5404458,0.14173886,125
126,0.13116524,0.5640056,2.9604526,0.9224993,1.377708,0.2817669,126
127,0.2877675,0.6436873,2.3346665,0.6098424,1.1720054,0.82146937,127
128,0.12016211,0.74120665,1.5026443,0.87994593,0.9021019,0.20273641,128
129,0.2663083,0.5642815,0.9986582,0.91359156,0.5074122,0.31738713,129
130,0.2545632,0.70388985,1.3149557,0.66028893,1.0528181,0.4140571,130
131,0.15938178,0.56231487,0.54782325,0.8726267,0.88684237,0.23897427,131
