,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred dec temp,true dec temp,inferred weight,true weight
44,0.526197,0.42855513,44,0.43595782,0.48784733,1.9650656,1.5605632,0.52865285,0.6620509
45,0.47440723,0.21069705,45,0.18086852,0.15121347,2.0079644,2.9687495,0.59677315,0.39872944
46,0.45777997,0.28667808,46,0.21619396,0.7753768,0.9311963,0.16288733,0.46114686,0.89631426
47,0.4636855,0.44830328,47,0.40517682,0.38347495,3.9486477,3.9740317,0.4285797,0.441975
48,0.38377765,0.038562477,48,0.24839868,0.1617825,5.114416,5.66936,0.72645944,0.94448984
49,0.40522686,0.61792,49,0.29891175,0.13579208,0.9104784,1.2180476,0.5307406,0.093207
50,0.11258791,0.22383994,50,0.6348744,0.48250037,4.8405995,4.895303,0.36682084,0.09399426
51,0.67186415,0.7936257,51,0.75178266,0.9156211,1.6370224,1.2295468,0.4261137,0.31833696
52,0.3792247,0.6931424,52,0.49010158,0.5364679,4.1784434,3.3997684,0.8264334,0.9389056
53,0.6138232,0.8342431,53,0.90308034,0.96297187,5.0098953,5.945453,0.5583456,0.762489
54,0.15961921,0.50055987,54,0.678247,0.74392974,2.8714151,1.8384022,0.5001342,0.9500706
55,0.3939537,0.9496089,55,0.32029805,0.26390445,2.0451798,1.7178344,0.5704856,0.5537461
56,0.5512804,0.6753817,56,0.62429446,0.5987318,5.166928,5.468358,0.75672203,0.6199105
57,0.850676,0.7913713,57,0.93588245,0.96437013,5.1809826,5.7558465,0.16541082,0.11717582
58,0.28383005,0.17497689,58,0.791393,0.9321733,3.0886621,3.672042,0.28263167,0.080078006
59,0.38515577,0.51912594,59,0.4731897,0.54500294,1.8810285,1.9907502,0.45963868,0.03794837
60,0.46279058,0.6023127,60,0.18555057,0.10925925,1.4311943,1.727947,0.48056415,0.8352519
61,0.43857604,0.32004642,61,0.21024968,0.40551823,1.0477558,0.038389564,0.4977437,0.6398209
62,0.36555824,0.37398738,62,0.15180294,0.14925462,3.6387062,3.23074,0.5090744,0.41357046
63,0.37124035,0.8495923,63,0.5850249,0.8146225,1.9519823,1.0193653,0.53958505,0.6887012
64,0.40944585,0.5804513,64,0.7379644,0.68360907,2.846806,3.2302647,0.8020799,0.9794312
65,0.48838592,0.37598848,65,0.7273699,0.5716697,2.1705215,3.1371884,0.29526508,0.17083782
66,0.37522522,0.11740047,66,0.39990008,0.37698936,3.354159,2.929091,0.66131765,0.76582265
