,inferred mb weight,true mb weight,subject,inferred discount,true discount,inferred mf weight,true mf weight,inferred learning rate,true learning rate,inferred prior lr,true prior lr,inferred prior weight,true prior weight
145,4.7192082,5.4131284,145,0.28393507,0.25005144,1.8046435,1.4596728,0.69851696,0.712516,0.6728969,0.739867,2.5202017,2.4881601
146,1.0133892,1.6642803,146,0.30920804,0.8173219,1.4038705,0.25412858,0.76195234,0.72712106,0.23343115,0.29390454,0.8571012,0.5473151
147,4.9232597,3.7336972,147,0.25209755,0.008009613,1.8846749,4.081911,0.578911,0.55375034,0.32867676,0.52541465,1.1334366,1.2960066
148,5.0133305,4.951535,148,0.13569076,0.29579586,1.5697572,0.052464366,0.17941028,0.14423901,0.6628248,0.9618949,2.1532364,1.6225183
149,2.4706142,1.9368124,149,0.16881232,0.04815936,2.0864258,1.6585958,0.48706886,0.21132207,0.4449598,0.7341591,4.0734544,3.0131125
150,2.6962848,2.3696938,150,0.39953682,0.55284554,1.7227124,2.0459528,0.36892253,0.73193073,0.24352475,0.30909163,3.8430235,5.9508533
151,3.1436064,5.0315137,151,0.5827313,0.9290097,3.7490406,4.322819,0.5085629,0.5317296,0.75333345,0.8927639,2.2499459,2.5164437
152,2.6940105,3.0713177,152,0.61345506,0.35453516,3.1015782,2.9964387,0.6856471,0.8362283,0.624719,0.5802125,1.289662,2.1972263
153,1.3226938,0.72437954,153,0.26328892,0.1986534,2.9084244,4.5222254,0.5958955,0.58111036,0.28368318,0.9951688,0.82593715,0.039441705
154,3.2362509,2.4444,154,0.5942644,0.5314724,3.7827902,5.746344,0.5402548,0.562446,0.7497942,0.86020035,1.8431115,1.744213
155,3.5254743,5.445085,155,0.401151,0.51422787,2.1701903,2.6091638,0.58254504,0.8063052,0.35924262,0.29390728,4.290068,4.734939
156,1.6037208,1.5544478,156,0.3456074,0.20401943,1.2033261,0.16689384,0.6033642,0.5212144,0.2479753,0.34720188,3.8287458,4.9500904
157,3.7184017,5.502956,157,0.61177063,0.7610058,3.3108077,4.4148827,0.6935783,0.71363205,0.6382445,0.24922156,0.74933153,0.4271103
