,inferred mb weight,subject,inferred discount,inferred mf weight,inferred learning rate,inferred prior lr,inferred prior weight
89,0.4114454,89,0.27140838,0.4702092,0.7364043,0.18453234,0.76534486
90,1.5970253,90,0.44919,1.3051059,0.78953564,0.20122615,0.7244995
91,1.0321171,91,0.27509606,1.1609117,0.74510217,0.19782232,0.7018348
92,0.4004055,92,0.36201686,0.59943503,0.7594805,0.19384454,0.75308
93,1.8843254,93,0.5616006,1.7018269,0.41249833,0.42746845,0.72557247
94,2.7535381,94,0.38275424,1.7383655,0.6216886,0.3263266,0.74733204
95,1.7564932,95,0.29878333,1.4171534,0.6336197,0.19905154,0.9183845
96,1.0154052,96,0.32561502,1.7515815,0.6411209,0.1341183,1.6627297
97,1.121149,97,0.7201514,3.1312926,0.6047101,0.037557535,2.4209287
98,1.5659771,98,0.50424635,1.6616225,0.74397224,0.29261738,0.6407588
99,1.2570385,99,0.49882385,1.6897881,0.58129615,0.6822612,1.0746454
100,0.39877602,100,0.25029022,0.4936868,0.6561733,0.12165227,1.5902383
101,2.0123742,101,0.51485866,2.2916605,0.5917113,0.37640795,0.5290632
102,0.81523365,102,0.2315567,1.2462748,0.6472979,0.18800794,0.7947067
103,0.9255817,103,0.28253835,0.98476917,0.6712694,0.18023379,0.77380824
104,0.7673227,104,0.45385167,1.6011394,0.55931985,0.36095092,0.92581713
105,0.9730054,105,0.2643506,0.869654,0.58396816,0.1484585,1.7944951
106,0.44988826,106,0.21322225,0.5330259,0.7437468,0.16097783,0.8113012
107,0.54791456,107,0.30870008,0.7750182,0.6677974,0.19815896,0.83936554
108,0.44307914,108,0.22454849,0.71943825,0.6912928,0.16603135,0.8223234
109,2.2466748,109,0.26598585,1.6926707,0.5022728,0.45176497,0.65677243
110,0.6592804,110,0.27478644,0.68178993,0.49491957,0.19834003,0.96914905
111,1.3515732,111,0.4260133,1.2289296,0.47610804,0.3286378,1.4932876
112,0.6683053,112,0.19756228,0.89872825,0.6032362,0.20149681,0.7657926
113,3.035462,113,0.3843102,1.5647471,0.61078906,0.72754717,0.8895951
